Number of policies,Training time,SPS
1,23.9051370620728,125496.038454417
5,22.590433597564697,248209.111296872
10,35.63818383216858,305506.776427087
15,46.1506667137146,337168.264421684
20,56.53687500953674,354596.259801384
25,67.99873423576355,366827.309951602
30,79.76944017410278,382416.447583754
