Number of policies,Training time,SPS
1,10.620490312576294,125407.712463808
5,22.7402286529541,246699.331797551
10,35.22508239746094,302546.839215187
15,46.235244274139404,337168.264421684
20,56.74347519874573,353309.54154258
25,68.53664898872375,368940.001111912
30,79.02594423294067,381149.388053759
