Number of policies,Training time,SPS
1,10.491849184036255,125582.487297372
5,22.662036657333374,245859.994909414
10,35.863293170928955,304258.882551761
15,45.94900608062744,336865.520946079
20,56.74405312538147,348237.590866365
25,68.42822313308716,365397.335725504
30,78.65585494041443,379378.939217771
