Number of policies,Training time,SPS
1,10.513933897018433,125727.569841839
5,22.717825412750244,249128.764897427
10,35.85724997520447,299969.330108756
15,47.02661061286926,335867.699989629
20,57.06228017807007,353930.386812207
25,68.99723553657532,366852.686546056
30,78.58457636833191,383088.019112265
