Number of policies,Training time,SPS
1,23.9175381660461,125430.969490784
5,22.59289574623108,248842.357795832
10,35.203683376312256,303942.176928614
15,45.99162292480469,333034.567943608
20,56.74384593963623,356509.993444072
25,67.57953834533691,369668.788527275
30,77.84772610664368,379937.74072334
