Number of policies,Training time,SPS
1,10.620490312576294,125449.014504013
5,22.769342184066772,244494.070824787
10,38.154030561447144,304547.781405086
15,46.76827692985535,335271.61275236
20,57.02982020378113,349265.925284068
25,68.83885049819946,369358.341809809
30,78.58457636833191,386936.470494463
