Number of policies,Training time,SPS
1,11.370360851287842,126961.365264268
5,22.709200382232666,245928.302378653
10,35.31165957450867,302169.861820115
15,46.74628162384033,338650.765579824
20,57.573418617248535,355535.529617085
25,70.63086128234863,368733.143864613
30,78.43689298629761,381963.508230802
