Number of policies,Training time,SPS
1,10.596636056900024,126172.72112453
5,22.769342184066772,251036.752328848
10,36.18234157562256,305989.865363858
15,46.173346519470215,337472.303771075
20,56.8427951335907,346355.808718414
25,68.63581848144531,370012.50255201
30,78.99578523635864,381099.624605915
